"행정구역(시군구)별",2018.01,2018.01,2018.02,2018.02,2018.03,2018.03,2018.04,2018.04,2018.05,2018.05,2018.06,2018.06,2018.07,2018.07,2018.08,2018.08,2018.09,2018.09,2018.10,2018.10,2018.11,2018.11,2018.12,2018.12,2019.01,2019.01,2019.02,2019.02,2019.03,2019.03,2019.04,2019.04,2019.05,2019.05,2019.06,2019.06,2019.07,2019.07,2019.08,2019.08,2019.09,2019.09,2019.10,2019.10,2019.11,2019.11,2019.12,2019.12,2020.01,2020.01,2020.02,2020.02,2020.03,2020.03,2020.04,2020.04,2020.05,2020.05,2020.06,2020.06,2020.07,2020.07,2020.08,2020.08,2020.09,2020.09,2020.10,2020.10,2020.11,2020.11,2020.12,2020.12,2021.01,2021.01,2021.02,2021.02,2021.03,2021.03,2021.04,2021.04,2021.05,2021.05,2021.06,2021.06,2021.07,2021.07,2021.08,2021.08,2021.09,2021.09,2021.10,2021.10,2021.11,2021.11,2021.12,2021.12,2022.01,2022.01,2022.02,2022.02,2022.03,2022.03,2022.04,2022.04,2022.05,2022.05,2022.06,2022.06,2022.07,2022.07,2022.08,2022.08,2022.09,2022.09,2022.10,2022.10,2022.11,2022.11,2022.12,2022.12
"행정구역(시군구)별",총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명)
"서울특별시",119120,126275,135440,142674,144160,152138,117443,127510,117278,128576,109139,117661,112580,121981,117300,126268,92262,100223,132111,142818,125350,136685,117524,127128,128937,129031,146401,143367,135592,137242,118129,122867,110881,117209,91828,97933,111288,118365,110592,118002,103969,109435,128067,133127,113012,117720,127797,131783,131105,127159,170587,167282,164402,167806,127208,134325,117734,120443,122292,126224,115625,121544,123804,131848,127908,137952,126788,137100,117563,127049,133111,144245,114415,124855,141936,151351,151617,157833,117475,127213,112967,121276,104704,112992,111646,120075,125161,133278,110490,118609,107123,116512,108106,118660,112547,121776,100675,103083,142156,138891,122917,123192,95228,99394,104657,107739,91205,93015,90743,92319,103288,104172,86938,91087,85408,91844,85979,92384,92333,99747
"종로구",1900,2038,2567,2641,2757,2693,1819,2062,1822,2026,1552,1871,1705,1949,1942,2061,1542,1533,2052,2162,1725,1857,1804,1905,1839,2068,2555,2524,2335,2414,1666,1939,1727,1979,1442,1640,1718,1880,1851,1924,1754,1755,1736,1941,1695,1773,1953,2108,1961,2026,2765,2649,2581,2634,1912,2161,1642,1957,1790,2035,1725,1893,1803,1986,2038,2058,1771,1988,1755,1883,1889,1984,1658,1887,2288,2490,2644,2697,1817,1978,1726,1918,1618,1916,1715,2035,1980,2114,1748,1758,1628,1764,1600,1805,1782,2066,1628,1713,2491,2406,1782,2027,1388,1610,1565,1691,1321,1537,1554,1625,1797,1754,1458,1592,1422,1472,1328,1501,1389,1628
"중구",1815,1749,2119,1947,2227,2110,1729,1829,1875,1732,1535,1657,1512,1625,1488,1620,1334,1347,1833,1880,1628,1688,1676,1689,1659,1534,1951,1839,1672,1729,1486,1524,1409,1548,1685,1366,1856,1616,1773,1786,1481,1502,1599,1742,1427,1519,1625,1679,1715,1681,2302,2237,2226,2307,1659,1699,1623,1625,1628,1676,1479,1609,1584,1592,1814,2011,1530,1681,1556,1701,1661,1914,1585,1758,1854,2052,1966,2144,1623,1680,1634,1744,1545,1621,1685,1752,1780,1864,1675,1685,1515,1589,1489,1561,1566,1676,1366,1517,1964,2103,1820,1781,1337,1379,1442,1464,1266,1239,1289,1244,1427,1483,1239,1290,1103,1309,1158,1249,1327,1407
"용산구",3361,3014,3583,3341,4042,3927,3040,3050,3086,3175,2920,3161,2849,3043,2803,2925,2376,2470,3453,3500,3165,3200,2661,2995,3160,3006,3356,3272,3009,3155,2713,2973,2951,3014,2701,2517,2870,2863,2745,2787,2532,2821,2890,3157,2757,2844,3415,3264,3733,3041,3985,3679,3798,3879,3008,3218,2911,2896,3046,3029,2876,2889,2977,3067,3831,3435,3590,3363,3130,3006,3397,3483,2892,2894,3768,3647,4462,3882,2991,3253,3074,3338,2824,3170,2944,3371,2785,3785,2612,3444,2492,2921,2483,2739,2684,3128,2423,2751,3273,3405,2836,3036,2693,2808,3150,3035,2760,2596,2496,2474,2636,2617,2153,2313,2137,2322,2244,2422,2245,2546
"성동구",3948,3863,4560,4361,6307,5065,4940,4101,4012,3955,3758,3400,4322,4011,4286,3861,3283,3156,4428,4623,3874,4345,3640,4271,3653,4229,4323,5042,3803,4531,3293,3981,3263,3715,2612,3181,2973,3695,3195,3856,2918,3539,3370,4370,3029,3785,3490,4178,3714,4255,5003,5650,4941,5750,3702,4534,3528,4010,3581,4078,3332,3897,3286,4036,3550,4207,3714,4456,3152,3806,3650,4417,3298,3809,4237,4826,4656,5041,3329,3744,3191,3640,2917,3485,3091,3591,3405,3943,3049,3502,2845,3471,2828,3412,2985,3611,2883,3348,4364,4751,3737,3807,2579,3040,2725,3156,2545,2908,2706,2934,3073,3129,2455,2836,2206,2717,2426,2743,2439,2784
"광진구",4638,4627,5321,5471,5447,6072,4650,5111,4488,5096,3952,4476,4053,4565,4251,4584,3386,3547,5766,5740,5286,4925,4490,4560,4652,4855,5356,5452,4649,5241,4226,4814,4453,4694,3606,3920,3821,4565,4193,4460,3750,4154,4510,5050,4136,4677,4839,5206,4603,4675,5811,6040,5830,6461,4729,5123,4275,4512,4511,4721,3983,4345,4218,4842,4323,4939,4497,4943,4295,4645,4851,5457,4059,4684,4726,5546,5432,5827,4431,4839,4220,4438,3845,4178,3988,4385,4246,4875,4163,4559,4065,4352,4144,4575,4203,4492,3953,3920,5764,5237,5040,4769,3607,3871,4007,4326,3455,3609,3496,3538,3858,4013,2973,3352,3106,3406,3307,3477,3417,3675
"동대문구",3838,4364,4885,5068,4918,5502,3834,4260,3874,4343,4958,4517,5756,4788,5362,4671,3522,3597,5098,5540,4672,5562,4182,5393,4464,5089,5805,5785,5206,5924,3955,4412,4031,4076,3843,3682,4259,4266,4082,3974,3539,3614,3857,4275,3998,3974,4621,4589,4536,4642,6260,6258,6636,6523,4492,4861,3948,3918,4192,4359,3776,4199,4291,4810,4513,4778,4057,4631,3947,4359,4260,4797,3537,4299,5209,5442,5640,5544,3853,4217,3753,4002,3566,3756,3747,3816,4300,4370,3902,3899,3520,3808,3513,3644,4415,4234,3772,3674,5773,5254,4669,4467,3087,3397,3450,3536,2969,3053,3068,3178,4273,3985,4186,3254,3437,3240,2973,2947,2874,3380
"중랑구",3986,4532,4150,4757,5317,5610,5076,5493,4925,5354,4454,5044,4406,4875,4274,4776,3340,3760,5067,5502,4848,5234,4325,4679,4083,4310,4001,4427,4370,4846,4206,4900,4020,4683,3642,3951,3976,4801,3816,4487,3718,4110,4622,5478,4059,4729,4933,5210,4284,4506,4910,5344,5564,6219,4716,5207,4575,4696,4470,5017,5020,5111,7098,5602,5705,5473,4790,5147,4544,4897,4538,4993,4266,4427,4499,5039,5129,5652,4392,4923,4217,4721,3926,4415,3917,4467,4776,5241,4593,4916,4228,4538,4418,4933,4506,4685,3823,3498,5525,4447,5165,4641,3844,3830,4047,4179,3339,3523,3366,3547,3644,3993,3117,3433,3073,3473,3099,3402,3141,3377
"성북구",4780,5520,5843,6306,5811,6424,4564,5173,4534,5250,4420,5137,4410,5402,4898,5594,3645,4228,5097,5931,4764,5466,4381,5046,4564,5155,6543,6062,8564,6076,6595,5126,4956,4647,4069,3768,5426,4707,4986,4647,4321,4227,7238,5848,5330,5227,5249,5679,5477,5634,7704,7672,7076,7050,5124,5423,4800,4812,4822,5115,4496,5101,4441,5259,4736,5395,4901,5684,4526,5410,4850,5676,6304,5743,7351,7051,6761,6949,4881,5319,4309,4704,4039,4346,4242,4553,4612,5123,4180,4383,4125,4636,3990,4681,4260,4906,3832,4191,8611,6764,6990,5634,4104,3832,4357,4147,3639,3587,3517,3478,4497,4305,3370,3645,3370,3593,3152,3638,3325,3911
"강북구",2937,3078,3223,3472,4041,4146,3449,3922,3596,4117,3464,3871,3420,4008,3457,4205,2834,3193,3812,4247,3672,4201,3036,3340,3072,3412,2960,3396,3291,4168,3175,3908,3145,3647,2655,3062,2690,3227,2817,3238,2590,2964,4360,4201,3896,3733,3395,3666,3072,3259,3760,4114,4282,4505,3734,3957,3379,3734,3625,4043,3139,3713,3049,3638,3456,3934,3226,3857,3316,3900,3587,4002,2906,3389,3208,4006,3802,4286,3372,3758,3156,3560,2936,3384,2885,3362,3196,3778,2745,3199,2870,3398,3025,3404,2956,3437,2235,2564,3145,3699,3081,3643,2513,2797,2994,3093,2666,2655,2610,2661,2747,2817,2293,2558,2300,2649,2333,2675,2326,2553
"도봉구",2872,3152,2994,3432,3602,4131,3363,3717,3844,4152,3150,3451,3085,3386,3308,3660,2631,3031,3819,4351,3631,4165,3219,3585,2789,3344,2903,3347,3142,3687,3055,3530,3147,3361,2508,2875,2913,3307,2826,3282,2690,3192,3164,3879,3118,3736,3190,3685,2827,3388,3657,4282,3836,4613,3551,4062,3301,3802,3227,3754,3098,3756,3037,3808,3506,4242,3711,4271,3284,3789,3400,4125,2601,3486,3151,3946,3754,4319,3267,3695,3297,3658,3117,3372,3084,3503,3181,3802,2817,3248,2981,3343,2804,3075,2841,3235,2153,2293,2782,3211,2844,3267,2345,2764,2575,2849,2414,2710,2361,2435,2472,2798,2152,2526,2148,2414,2238,2512,2307,2579
"노원구",4954,6133,6088,7310,6787,6952,4778,5714,5028,5878,4513,5340,4647,5633,4909,5765,3907,4546,5734,6574,5583,6733,4939,6170,5082,6108,5937,6901,5518,6156,4114,5375,4107,4871,3251,4043,4203,5398,4505,5745,4371,5012,4988,6402,5098,5501,6009,6583,6302,6552,8328,9110,7261,8053,5344,6052,4693,5350,4936,5665,4545,5420,4922,6158,5260,6486,5108,6015,4770,5519,6707,7327,5328,6452,6149,7556,6372,7049,4761,5501,4457,5121,4192,4710,4114,4942,4589,5703,4194,5138,4388,5208,4485,5247,5707,5846,4855,4904,6361,6603,5379,5278,3411,4059,3806,4549,3476,4209,3490,3957,4046,4419,3775,3894,3349,3784,3343,3708,3316,4118
"은평구",4983,5253,5392,5703,6398,6775,5976,6318,6006,6523,5256,5745,4899,5602,5510,5826,4562,4998,6434,6422,6579,6618,5494,5736,6182,5839,6623,6110,6620,6443,6020,6041,5393,5718,4348,4642,5001,5660,5243,6490,6534,6730,6822,7237,5358,5889,5255,5922,5019,5565,6260,6663,6494,7426,6412,6410,6015,5946,8577,7039,8103,6405,6314,5777,6389,6575,5809,6145,5460,5946,5512,6268,4490,5063,5008,5895,6021,6651,5167,5799,5958,5655,5611,5358,4847,5201,5100,5669,4743,5086,4948,5423,5904,5698,5472,5453,4106,4255,4912,5334,5051,5294,5828,4808,5717,5112,4616,4592,4436,4565,4612,5037,4048,4730,3954,4998,4285,5380,4421,5404
"서대문구",4140,4273,5056,5032,4757,5125,3651,4091,3348,3729,3262,3520,3211,3717,3391,3634,2819,2897,3660,4191,4410,4240,4156,4035,4805,4256,6004,5110,4395,4358,3566,3765,3645,3948,2955,3076,3144,3558,3354,3672,3079,3495,3385,3797,3291,3608,4106,4034,5283,4322,6869,5869,7049,5740,4520,4343,3589,3528,3723,3852,3481,3913,4792,4425,5242,4692,4047,4435,3601,4042,4308,4418,3507,3940,4599,5176,4930,5090,3333,3936,3378,3818,3091,3394,3139,3388,3510,3851,3217,3443,3084,3492,3248,3561,3448,3972,4076,3695,5834,5082,4408,4275,3053,3099,3156,3226,2765,2733,2976,2855,4163,3392,2910,2721,2712,2721,3320,2849,4105,3256
"마포구",4946,5170,5873,5930,6126,6253,4870,5044,4736,4841,4431,4462,4363,4582,4434,4847,3728,3941,6213,5815,5732,5418,4775,4768,5346,5197,5839,5834,5246,5584,4603,4982,4349,4545,3368,3713,4171,4885,4409,5016,5068,4720,5454,5287,4803,4677,5110,5133,5279,5350,7622,7291,7359,7162,5323,5500,5227,4857,4687,5127,4651,4996,4981,5452,5736,5867,5164,5780,4873,5475,5313,5810,4538,4914,5731,6035,6599,6786,6446,5431,5448,5089,4780,4618,4827,4800,5253,5368,4548,4717,4288,4549,4417,4856,4668,4961,4180,4440,5875,5909,5082,5274,3821,4464,4476,4640,3884,3788,3778,3904,4173,4409,3462,3662,3226,3821,3450,3802,4314,4056
"양천구",4554,5093,5706,6150,4959,6077,4040,4769,4071,4984,3975,4628,4470,4987,4910,5425,3611,3834,5084,5735,4619,5370,4580,5362,4491,5133,5397,5954,4346,4923,3960,4499,3743,4412,3076,3564,3978,4354,4223,4575,3716,4255,4508,5252,3884,4326,4934,5486,4989,5274,6959,7488,5242,6224,6593,5824,6456,5394,5049,5286,4683,5077,4844,5454,4653,5423,5045,5628,4446,5033,5122,5916,4096,4973,7471,6567,6162,6402,4325,4908,4227,4805,3900,4476,4161,4733,4397,5246,3821,4401,4152,4522,4037,4565,4203,4844,3864,4220,5070,5453,4198,4427,3672,4079,3891,4588,3326,3678,3468,3813,3782,4132,3114,3541,3392,3789,3303,3494,3459,4078
"강서구",6743,6813,7411,7463,8215,8573,6979,7493,6944,7655,6350,7034,6886,7752,6704,7608,5482,6021,7769,8518,7518,8071,6698,7280,6819,6956,6964,7369,6798,7212,6876,7123,6768,7044,5396,6021,6340,7001,6372,7223,6146,6798,7177,7979,5991,6853,6871,7478,6494,6789,8129,9370,8871,10055,7176,8294,6553,7359,6925,7599,6642,7383,6996,8495,7295,8748,7423,8375,7112,7820,7582,9286,6247,7255,8317,8459,9737,9491,7919,7733,7601,7766,6991,7019,6809,7329,6750,7496,6795,7306,6898,7376,6707,7278,6498,6860,5423,5669,7121,7601,6690,7128,6014,6289,6830,6512,6007,5947,5590,5869,5723,6067,5068,5634,4895,5274,4998,5572,5869,6110
"구로구",4082,5095,4225,5513,5656,5985,4205,4816,4451,4903,3818,4182,3767,4247,3980,4530,3104,3543,4820,5456,4756,5428,4244,4845,4017,4525,4542,5002,5880,4911,5305,4593,4191,4486,3600,3634,4467,4229,4746,4230,4226,3949,4863,4785,4499,4387,4455,4935,4687,4683,5579,6139,5646,6069,4548,5164,4661,4932,5260,5257,4802,4748,5619,5464,5794,5847,5061,5311,4649,5003,4579,5407,3675,4627,4350,5253,5175,5421,4064,4686,3908,4440,3510,4265,3775,4351,3853,4775,3906,4342,3946,4157,4018,4305,3990,4258,3432,3655,4307,4549,4250,4397,3386,3827,3686,4113,3050,3330,3186,3318,3432,3906,2982,3263,4732,3663,4269,3672,4158,3666
"금천구",2559,2726,2548,2984,3156,3607,2771,3247,2775,3019,2308,2661,2553,2688,2510,2906,2145,2230,3001,3157,4296,3330,3172,2953,3080,2868,2936,2952,2916,3092,3006,2839,2821,2872,2386,2451,2523,2805,2286,2579,2317,2524,2479,2854,2569,2717,3097,3175,3004,2761,3186,3399,3405,3632,2829,3008,2838,2810,2955,3112,2455,2771,3167,3135,3233,3156,2892,2939,2847,3036,2942,3204,2551,2652,2600,2934,3388,3440,2857,3062,3308,3101,3145,2818,3125,2633,3115,3005,2765,2888,2858,2730,3017,2872,2934,2912,2492,2396,2774,2776,2955,2687,2630,2507,3034,2761,2602,2462,2348,2371,2459,2516,2256,2464,2183,2509,2185,2437,2235,2484
"영등포구",5738,5539,6010,6016,6581,6581,5120,5198,4924,5003,4237,4588,4557,4922,4566,4785,3759,3935,5043,5465,4668,5145,4659,4931,5106,4937,5737,5482,5586,5332,5007,5018,4629,4570,3853,4040,4454,4661,4164,4590,4219,4486,4706,5186,4328,4679,5085,5272,5234,5069,9224,7118,8958,7191,6160,5895,5144,4886,5938,5166,5326,4652,6530,5641,5978,5653,7013,5872,6825,5558,6979,5825,5631,5038,6206,6076,6206,6220,5419,5391,4917,5137,4421,4668,4660,4755,4969,4799,4487,4660,4436,4506,4451,4935,4762,4923,4460,4417,5898,6024,5046,5175,3991,4256,4411,4626,4032,3954,4000,3809,5410,4823,4285,4092,3916,4319,3973,4089,4239,4369
"동작구",5206,5966,6138,6829,6135,6782,5041,5249,5617,5385,5112,4977,5081,4820,5408,5137,4125,4180,5504,5867,5362,5396,6370,5517,7076,5891,7450,6248,5848,5682,5040,4883,4803,4921,3788,4016,4308,4832,4531,5070,4239,4626,4707,5272,4206,4913,5172,5693,5133,5535,7313,7762,7148,7367,5465,5511,4993,4825,5071,5136,4578,4890,4832,5649,5087,5708,4926,5822,4613,5400,5337,6045,4646,5464,6461,7176,7245,6856,5479,5563,5001,5281,4517,4803,5575,5643,5734,6018,4881,5318,4378,5219,5494,5659,4846,5311,4582,4551,6480,6459,5837,5265,4030,4013,4454,4642,4126,3953,3981,4137,4661,4945,3928,4368,3585,4470,3674,4682,4021,5122
"관악구",8325,8022,9208,9079,10051,9467,7907,7972,7624,8115,7087,7127,7305,7547,7960,8065,6177,6132,7946,8446,7279,8385,7534,8120,8787,8712,9438,9018,9033,8873,7374,7783,7360,7341,6021,6311,8247,8164,7956,7797,6936,7263,7381,8294,7114,7585,7936,8647,8347,8521,10209,10482,10613,10835,8115,8485,8311,7831,8525,8171,7340,7362,7679,8151,7426,8199,6676,8125,6943,7979,8117,9085,7286,8112,8358,9133,9971,10248,7346,8138,7159,7426,6760,7086,7240,7484,7957,8106,7257,7497,6533,7178,6592,7451,7297,7852,6962,6969,9547,8869,8673,8439,6520,6355,7614,7232,6706,6346,6635,6340,7783,7214,7059,6469,6732,6252,6363,6436,6618,6839
"서초구",5751,5917,7378,7199,6631,7161,5083,5594,5213,5737,5200,5695,5736,6713,6621,7549,5591,6579,8270,9572,7125,8650,6059,7123,6246,6673,7166,7309,5574,6464,4826,5384,4472,5145,3904,4378,5222,5311,5340,5481,4566,4962,5312,5623,4779,4992,5928,5912,6076,5930,7906,7649,6043,6832,4623,5540,4982,5428,5645,6141,5375,6128,5197,6246,5666,6978,7508,8036,5746,5911,6483,6850,5255,5729,6476,7416,6102,7127,4685,5729,4530,5531,5306,6094,8301,8499,8243,9078,6262,7618,5200,6445,4715,6438,4989,6073,4433,5164,6045,6926,4871,5729,3572,4413,4186,4983,3679,4193,3921,4256,4308,4635,4279,4219,3981,4221,3634,3855,4168,4549
"강남구",8175,8896,9841,10708,8627,10540,7327,9271,7419,9974,6607,8523,7161,8431,7901,8748,5850,6811,7801,8285,6679,7964,8223,8651,8607,8909,10279,10203,8100,8656,7601,7455,7166,7062,6277,6205,7528,7532,8009,7418,7537,6795,8613,7979,7095,6855,8745,8647,9024,8306,11266,10796,8222,9848,6544,8110,6448,7823,6576,7341,6870,7504,7493,8003,7101,8060,9327,8464,7572,7869,8882,9458,7487,8193,9379,10064,8868,10145,6479,7730,6628,7706,6222,6828,6718,7633,11556,9317,8072,7548,7768,7257,7208,7511,7697,8174,7084,6886,9555,9398,7042,7758,5446,5942,6201,6504,5740,5703,6031,5667,7028,6522,5046,5298,5053,5233,5174,5427,5916,6481
"송파구",9146,8768,9695,9653,9836,10013,8273,8474,8182,8153,8317,7728,8104,7682,7939,8114,5900,6383,9018,9357,8160,8692,8490,8469,14767,10698,17175,12817,14828,11947,11731,10682,9734,9935,7074,7872,8122,9067,7449,8477,7014,7434,8041,9346,7790,8487,9548,9539,9544,9285,11556,12223,10280,12099,7797,9171,7144,8059,7430,8170,8416,8448,8843,9263,8411,9534,8417,9948,8892,9423,10198,10834,8829,9646,10344,12160,10653,12743,8787,10097,8295,9135,7051,8002,7507,8191,10350,9541,8690,8378,8115,8300,8162,8593,8398,8865,7820,7333,12704,10137,10025,8883,7398,6996,7423,7483,6242,6326,6278,6269,6675,6958,5557,6008,5678,6218,5866,6345,6597,7181
"강동구",5743,6674,5626,6309,5776,6567,4958,5542,4884,5477,4503,4866,4322,5006,4488,5372,3609,4331,5389,6482,5319,6602,4717,5705,4591,5327,5161,5912,4863,5838,4730,5338,4598,4975,3768,4005,7078,5981,5721,5198,4708,4508,12285,7893,8762,6254,8836,6063,10768,6110,14024,7998,15041,9332,9132,6773,6698,5453,6103,5335,5434,5334,5811,5895,7165,6554,6585,6184,5709,5639,8967,7664,7743,6421,10196,7406,9942,7823,6452,6103,5575,5542,4874,5210,5550,5658,5524,6411,5368,5676,5862,6330,5357,5862,5440,6002,4838,5060,5981,6494,5446,6111,4959,4959,5460,5292,4580,4384,4162,4075,4609,4303,3773,3925,3718,3977,3884,4070,4107,4194
